key,team,kind,class,supportType,label,weapon,secondaryWeapon,hp,speed,size,sight,rotationSpeed,cost,color,driveType,armor_front,armor_side,armor_rear,turret_speed,turret_accel,hullTurnAccel,crew,year,rwm_ref,w_type,w_fire,w_range,w_damage,w_cooldown,w_accuracy,w_supp,w_pen,w_blast
french_fusilier,french,fusilier,infantry,,Fusilier,mas36,,100,4.5,0.5,16,8,1,#8395a5,,0,0,0,,,,,1940,,,,,,,,,,
french_smg,french,smg,infantry,,Pistolet-Mitrailleur,mas38,,95,4.8,0.5,14,9,1,#7a8e9e,,0,0,0,,,,,1940,,,,,,,,,,
french_fm24,french,fm24,infantry,,FM 24/29 Team,fm2429,,110,4.2,0.55,17,7,2,#6f8597,,0,0,0,,,,,1940,,,,,,,,,,
french_dragoon,french,dragoon,infantry,,Dragon Porté,mas36,,100,4.6,0.5,16,8,1,#728698,,0,0,0,,,,,1940,,,,,,,,,,
french_sniper,french,sniper,infantry,,Tireur d'Élite,mas36_scoped,,80,3.8,0.45,24,6,2,#6a7f92,,0,0,0,,,,,1940,,,,,,,,,,
french_hmg,french,hmg,support,,Hotchkiss M1914,hotchkiss_m1914,,130,2.8,0.6,20,4,3,#607486,,0,0,0,,,,,1935,,,,,,,,,,
french_mortar_60,french,mortar60,support,,Brandt 60mm,mortar_60mm,,100,3.5,0.55,12,5,2,#5e7080,,0,0,0,,,,,1937,,,,,,,,,,
french_mortar_81,french,mortar81,support,,Brandt 81mm,mortar_81mm_fr,,120,2.5,0.6,10,4,4,#556878,,0,0,0,,,,,1932,,,,,,,,,,
french_at_25mm,french,at25,support,,25mm Hotchkiss AT,hotchkiss_25mm,,140,2,0.7,18,3,2,#506272,,0,0,0,,,,,1934,,,,,,,,,,
french_at_47mm,french,at47,support,,47mm SA 37,sa37_47mm,,160,1.5,0.75,20,3,4,#485c6c,,0,0,0,,,,,1939,,,,,,,,,,
french_h35,french,h35,vehicle,,Hotchkiss H35,sa18_37mm,,190,4.5,0.9,20,1.4,3,#788473,tracked,38,34,34,3,1.5,0.9,,1936,,,,,,,,,,
french_r35,french,r35,vehicle,,Renault R35,sa18_37mm,,200,3.8,0.9,18,1.3,3,#6e8070,tracked,38,35,28,3,1.5,0.8,,1936,,,,,,,,,,
french_s35,french,s35,vehicle,,Somua S35,sa35_47mm,,240,5.2,1,24,1.2,5,#889385,tracked,45,40,35,3.5,2,0.7,,1936,,,,,,,,,,
french_b1,french,b1,vehicle,,Char B1 bis,sa35_47mm,sa35_75mm_hull,340,3.2,1.2,22,0.9,8,#7a8a78,tracked,60,55,55,2.5,1.2,0.5,,1937,,,,,,,,,,
french_panhard,french,panhard,vehicle,,Panhard 178,sa35_25mm_panhard,,120,7.5,0.8,26,3,2,#6f8574,wheeled,20,15,10,5,3,2.5,,1937,,,,,,,,,,
german_grenadier,german,grenadier,infantry,,Grenadier,kar98k,,100,4.6,0.5,15.5,8,1,#7e8278,,0,0,0,,,,,1939,,,,,,,,,,
german_smg,german,smg,infantry,,Sturmtrupp,mp40,,95,4.9,0.5,14,9,1,#757a70,,0,0,0,,,,,1940,,,,,,,,,,
german_mg34,german,mg34,infantry,,MG34 Team,mg34_bipod,,110,3.9,0.55,17.5,6.5,2,#71776d,,0,0,0,,,,,1936,,,,,,,,,,
german_sniper,german,sniper,infantry,,Scharfschütze,kar98k_scoped,,80,3.8,0.45,26,6,2,#6b7065,,0,0,0,,,,,1939,,,,,,,,,,
german_hmg,german,hmg,support,,MG34 (Schwer),mg34_tripod,,130,2.5,0.6,22,4,3,#656b5f,,0,0,0,,,,,1936,,,,,,,,,,
german_mortar_50,german,mortar50,support,,5cm leGrW 36,mortar_50mm,,100,3.8,0.55,12,5,2,#5f6558,,0,0,0,,,,,1936,,,,,,,,,,
german_mortar_81,german,mortar81,support,,8cm GrW 34,mortar_81mm_ger,,120,2.5,0.6,10,4,4,#585e52,,0,0,0,,,,,1934,,,,,,,,,,
german_pak36,german,pak36,support,,Pak 36 (37mm),pak36,,150,1.8,0.7,20,3,2,#52584c,,0,0,0,,,,,1936,,,,,,,,,,
german_panzer1,german,panzer1,vehicle,,Panzer I,mg34_bipod,,100,7,0.75,18,1.8,1,#787d70,tracked,13,13,13,5,3,1.2,,1934,,,,,,,,,,
german_panzer2,german,panzer2,vehicle,,Panzer II,kwk30_20mm,,180,5.8,0.9,22,1.5,2,#787d70,tracked,22,18,16,5,2.5,1,,1937,,,,,,,,,,
german_panzer3,german,panzer3,vehicle,,Panzer III,kwk36_37mm,,250,5.4,1,24,1.3,4,#6e7366,tracked,30,26,21,6,3,0.8,,1939,,,,,,,,,,
german_panzer4,german,panzer4,vehicle,,Panzer IV,kwk37_75mm,,260,5,1,22,1.2,4,#6a6f62,tracked,30,20,20,5.5,2.5,0.7,,1939,,,,,,,,,,
german_sdkfz,german,sdkfz,vehicle,,Sd.Kfz. 222,kwk30_sdkfz,,110,7.5,0.85,24,3,2,#7b7f73,wheeled,12,8,8,6,3.5,2.5,,1940,,,,,,,,,,
french_medic,french,medic,support,medic,Medic,pistol_fr,,60,4.5,0.45,14,8,1,#eeeeee,,0,0,0,,,,,1940,,,,,,,,,,
french_mechanic,french,mechanic,support,mechanic,Mechanic,pistol_fr,,65,4.2,0.45,14,8,1,#88aacc,,0,0,0,,,,,1940,,,,,,,,,,
french_supply_truck,french,supply,support,supply,Supply Truck,none,,80,5,0.85,16,5,2,#8b8d6b,,2,1,1,,,,,1940,,,,,,,,,,
french_fuel_truck,french,fuel,support,fuel,Fuel Truck,none,,80,5,0.85,16,5,2,#6b8b6b,,2,1,1,,,,,1940,,,,,,,,,,
french_officer,french,officer,support,officer,Officer,pistol_fr,,70,4.6,0.45,20,8,2,#dbb866,,0,0,0,,,,,1940,,,,,,,,,,
french_sapper,french,sapper,support,sapper,Sapper,mas36,,90,4,0.5,15,7,1,#cc9966,,0,0,0,,,,,1940,,,,,,,,,,
german_medic,german,medic,support,medic,Sanitäter,pistol_de,,60,4.5,0.45,14,8,1,#eeeeee,,0,0,0,,,,,1940,,,,,,,,,,
german_mechanic,german,mechanic,support,mechanic,Mechaniker,pistol_de,,65,4.2,0.45,14,8,1,#88aacc,,0,0,0,,,,,1940,,,,,,,,,,
german_supply_truck,german,supply,support,supply,Munitionswagen,none,,80,5,0.85,16,5,2,#8b8d6b,,2,1,1,,,,,1940,,,,,,,,,,
german_fuel_truck,german,fuel,support,fuel,Tanklaster,none,,80,5,0.85,16,5,2,#6b8b6b,,2,1,1,,,,,1940,,,,,,,,,,
american_20mmaa_us,american,20mmaa,support,,20mm Oerlikon AA gun,rwm_american_20mmaa_us,,180,1.62,0.65,20,4,4,#5d6b4a,,40,34,28,3,1.5,,,1942,20mm Oerlikon AA gun,aa,direct,76,59,0.3,0.72,18,18,0
american_50calquad,american,cal_50_aa,support,,Browning AA-Gun cal.50 (4x cal.50),rwm_american_50calquad,,150,0.63,0.65,20,4,4,#5d6b4a,,40,34,28,3,1.5,,,1942,Browning AA-Gun cal.50 (4x cal.50),aa,direct,76,31,0.3,0.72,18,9,0
american_ki_to,american,gmc_m19,support,,GMC M19 (2x 40mm Bofors M2 L/56),rwm_american_ki_to,,300,5.44,0.65,17,4,6,#5d6b4a,,30,26,21,3,1.5,,6,1942,GMC M19 (2x 40mm Bofors M2 L/56),aa,direct,55,140,0.3,0.72,18,42,0
american_m_16,american,m16_aa,support,,MGMC M16 AA (4x Browning HMG cal.50),rwm_american_m_16,,72,8.25,0.65,19,4,2,#5d6b4a,,12,10,8,3,1.5,,4,1942,MGMC M16 AA (4x Browning HMG cal.50),aa,direct,48,100,0.3,0.72,18,30,0
american_flak90,american,90mmaa,support,,US 90mm AA-Gun Gun M2 L/52,rwm_american_flak90,,360,0.6,0.65,20,4,7,#5d6b4a,,40,34,28,3,1.5,,,1942,US 90mm AA-Gun Gun M2 L/52,aa,direct,90,450,2.5,0.72,18,180,0
american_m3,american,m3_75mm,vehicle,,M3 Halftrack (75mm Infantry-Gun),rwm_american_m3,,60,6.6,0.9,19,1.4,2,#5d6b4a,tracked,15,13,11,3,1.5,0.9,4,1942,M3 Halftrack (75mm Infantry-Gun),gun,direct,59,200,3.5,0.68,8,60,0
